2022-09-02T14:20:08.596+02:00,IdeState,Active,TaskTracker,*,16,0
2022-09-02T14:20:10.384+02:00,IdeState,Active,Editor,1.ipynb,0,0
2022-09-02T14:20:11.393+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:12.393+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:13.397+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:14.402+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:15.406+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:16.410+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:17.410+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:18.414+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:19.419+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:20.421+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:21.425+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:22.430+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:23.434+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:24.439+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:25.440+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:26.444+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:27.449+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:28.453+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:29.457+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:30.462+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:31.466+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:32.467+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:33.467+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:34.470+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:35.473+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:36.474+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:37.477+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:38.480+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:39.483+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:40.486+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:41.489+02:00,IdeState,Active,Editor,1.ipynb,1,0
2022-09-02T14:20:42.494+02:00,IdeState,Active,Editor,1.ipynb,8,1
2022-09-02T14:20:43.499+02:00,IdeState,Active,Editor,1.ipynb,8,4
2022-09-02T14:20:44.504+02:00,IdeState,Active,Editor,1.ipynb,8,6
2022-09-02T14:20:45.509+02:00,IdeState,Active,Editor,1.ipynb,8,6
2022-09-02T14:20:46.512+02:00,IdeState,Active,Editor,1.ipynb,8,6
2022-09-02T14:20:47.516+02:00,IdeState,Active,Editor,1.ipynb,8,6
2022-09-02T14:20:48.518+02:00,IdeState,Active,Editor,1.ipynb,8,9
2022-09-02T14:20:49.518+02:00,IdeState,Active,Editor,1.ipynb,8,14
2022-09-02T14:20:50.519+02:00,IdeState,Active,Editor,1.ipynb,8,15
2022-09-02T14:20:51.450+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,16
2022-09-02T14:20:51.520+02:00,IdeState,Active,Editor,1.ipynb,8,15
2022-09-02T14:20:51.588+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,15
2022-09-02T14:20:51.703+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,14
2022-09-02T14:20:51.863+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,13
2022-09-02T14:20:51.988+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,12
2022-09-02T14:20:52.100+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,11
2022-09-02T14:20:52.216+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,10
2022-09-02T14:20:52.520+02:00,IdeState,Active,Editor,1.ipynb,8,9
2022-09-02T14:20:52.558+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,9
2022-09-02T14:20:52.698+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,8
2022-09-02T14:20:53.520+02:00,IdeState,Active,Editor,1.ipynb,8,9
2022-09-02T14:20:54.521+02:00,IdeState,Active,Editor,1.ipynb,8,12
2022-09-02T14:20:55.525+02:00,IdeState,Active,Editor,1.ipynb,8,15
2022-09-02T14:20:56.529+02:00,IdeState,Active,Editor,1.ipynb,8,16
2022-09-02T14:20:57.532+02:00,IdeState,Active,Editor,1.ipynb,8,16
2022-09-02T14:20:57.795+02:00,Action,EditorRight,Editor,1.ipynb,8,16
2022-09-02T14:20:58.532+02:00,IdeState,Active,Editor,1.ipynb,8,18
2022-09-02T14:20:59.039+02:00,Action,EditorBackSpace,Editor,1.ipynb,8,19
2022-09-02T14:20:59.297+02:00,Action,EditorEnter,Editor,1.ipynb,8,18
2022-09-02T14:20:59.533+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:00.538+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:01.543+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:02.545+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:03.551+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:04.555+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:05.559+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:06.560+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:07.561+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:08.562+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:09.565+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:10.566+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:11.570+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:12.571+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:13.575+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:14.578+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:15.582+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:16.608+02:00,IdeState,Active,Editor,1.ipynb,9,6
2022-09-02T14:21:17.609+02:00,IdeState,Active,Editor,1.ipynb,9,9
2022-09-02T14:21:18.610+02:00,IdeState,Active,Editor,1.ipynb,9,10
2022-09-02T14:21:19.615+02:00,IdeState,Active,Editor,1.ipynb,9,11
2022-09-02T14:21:20.619+02:00,IdeState,Active,Editor,1.ipynb,9,11
2022-09-02T14:21:21.342+02:00,Action,EditorBackSpace,Editor,1.ipynb,9,11
2022-09-02T14:21:21.621+02:00,IdeState,Active,Editor,1.ipynb,9,11
2022-09-02T14:21:22.625+02:00,IdeState,Active,Editor,1.ipynb,9,14
2022-09-02T14:21:23.441+02:00,Action,EditorRight,Editor,1.ipynb,9,14
2022-09-02T14:21:23.629+02:00,IdeState,Active,Editor,1.ipynb,9,15
2022-09-02T14:21:24.632+02:00,IdeState,Active,Editor,1.ipynb,9,15
2022-09-02T14:21:25.637+02:00,IdeState,Active,Editor,1.ipynb,9,15
2022-09-02T14:21:26.638+02:00,IdeState,Active,Editor,1.ipynb,9,15
2022-09-02T14:21:27.642+02:00,IdeState,Active,Editor,1.ipynb,9,15
2022-09-02T14:21:28.429+02:00,Action,EditorLeft,Editor,1.ipynb,9,15
2022-09-02T14:21:28.572+02:00,Action,EditorLeft,Editor,1.ipynb,9,14
2022-09-02T14:21:28.642+02:00,IdeState,Active,Editor,1.ipynb,9,13
2022-09-02T14:21:29.070+02:00,Action,EditorLeft,Editor,1.ipynb,9,13
2022-09-02T14:21:29.154+02:00,Action,EditorLeft,Editor,1.ipynb,9,12
2022-09-02T14:21:29.237+02:00,Action,EditorLeft,Editor,1.ipynb,9,11
2022-09-02T14:21:29.321+02:00,Action,EditorLeft,Editor,1.ipynb,9,10
2022-09-02T14:21:29.405+02:00,Action,EditorLeft,Editor,1.ipynb,9,9
2022-09-02T14:21:29.488+02:00,Action,EditorLeft,Editor,1.ipynb,9,8
2022-09-02T14:21:29.571+02:00,Action,EditorLeft,Editor,1.ipynb,9,7
2022-09-02T14:21:29.647+02:00,IdeState,Active,Editor,1.ipynb,9,6
2022-09-02T14:21:29.656+02:00,Action,EditorLeft,Editor,1.ipynb,9,6
2022-09-02T14:21:30.116+02:00,Action,EditorLeft,Editor,1.ipynb,9,5
2022-09-02T14:21:30.651+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:31.652+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:32.654+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:33.659+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:34.304+02:00,Action,EditorRight,Editor,1.ipynb,9,4
2022-09-02T14:21:34.663+02:00,IdeState,Active,Editor,1.ipynb,9,5
2022-09-02T14:21:34.803+02:00,Action,EditorRight,Editor,1.ipynb,9,5
2022-09-02T14:21:34.887+02:00,Action,EditorRight,Editor,1.ipynb,9,6
2022-09-02T14:21:34.969+02:00,Action,EditorRight,Editor,1.ipynb,9,7
2022-09-02T14:21:35.500+02:00,Action,EditorLeft,Editor,1.ipynb,9,8
2022-09-02T14:21:35.660+02:00,Action,EditorLeft,Editor,1.ipynb,9,7
2022-09-02T14:21:35.668+02:00,IdeState,Active,Editor,1.ipynb,9,6
2022-09-02T14:21:35.804+02:00,Action,EditorLeft,Editor,1.ipynb,9,6
2022-09-02T14:21:35.955+02:00,Action,EditorLeft,Editor,1.ipynb,9,5
2022-09-02T14:21:36.672+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:21:36.674+02:00,Action,EditorRight,Editor,1.ipynb,9,4
2022-09-02T14:21:37.174+02:00,Action,EditorRight,Editor,1.ipynb,9,5
2022-09-02T14:21:37.258+02:00,Action,EditorRight,Editor,1.ipynb,9,6
2022-09-02T14:21:37.342+02:00,Action,EditorRight,Editor,1.ipynb,9,7
2022-09-02T14:21:37.425+02:00,Action,EditorRight,Editor,1.ipynb,9,8
2022-09-02T14:21:37.508+02:00,Action,EditorRight,Editor,1.ipynb,9,9
2022-09-02T14:21:37.591+02:00,Action,EditorRight,Editor,1.ipynb,9,10
2022-09-02T14:21:37.676+02:00,Action,EditorRight,Editor,1.ipynb,9,11
2022-09-02T14:21:37.681+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:21:37.760+02:00,Action,EditorRight,Editor,1.ipynb,9,12
2022-09-02T14:21:37.842+02:00,Action,EditorRight,Editor,1.ipynb,9,13
2022-09-02T14:21:37.926+02:00,Action,EditorRight,Editor,1.ipynb,9,14
2022-09-02T14:21:38.009+02:00,Action,EditorRight,Editor,1.ipynb,9,15
2022-09-02T14:21:38.685+02:00,IdeState,Active,Editor,1.ipynb,9,16
2022-09-02T14:21:39.686+02:00,IdeState,Active,Editor,1.ipynb,9,18
2022-09-02T14:21:40.688+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:41.688+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:42.692+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:43.694+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:44.697+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:45.698+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:46.702+02:00,IdeState,Active,Editor,1.ipynb,9,21
2022-09-02T14:21:47.708+02:00,IdeState,Active,Editor,1.ipynb,9,21
2022-09-02T14:21:48.641+02:00,Action,EditorLeftWithSelection,Editor,1.ipynb,9,21
2022-09-02T14:21:48.710+02:00,IdeState,Active,Editor,1.ipynb,9,20
2022-09-02T14:21:49.218+02:00,Action,EditorLeft,Editor,1.ipynb,9,20
2022-09-02T14:21:49.391+02:00,Action,EditorLeft,Editor,1.ipynb,9,20
2022-09-02T14:21:49.504+02:00,Action,EditorLeft,Editor,1.ipynb,9,19
2022-09-02T14:21:49.711+02:00,IdeState,Active,Editor,1.ipynb,9,18
2022-09-02T14:21:50.004+02:00,Action,EditorLeft,Editor,1.ipynb,9,18
2022-09-02T14:21:50.087+02:00,Action,EditorLeft,Editor,1.ipynb,9,17
2022-09-02T14:21:50.171+02:00,Action,EditorLeft,Editor,1.ipynb,9,16
2022-09-02T14:21:50.254+02:00,Action,EditorLeft,Editor,1.ipynb,9,15
2022-09-02T14:21:50.339+02:00,Action,EditorLeft,Editor,1.ipynb,9,14
2022-09-02T14:21:50.422+02:00,Action,EditorLeft,Editor,1.ipynb,9,13
2022-09-02T14:21:50.506+02:00,Action,EditorLeft,Editor,1.ipynb,9,12
2022-09-02T14:21:50.589+02:00,Action,EditorLeft,Editor,1.ipynb,9,11
2022-09-02T14:21:50.674+02:00,Action,EditorLeft,Editor,1.ipynb,9,10
2022-09-02T14:21:50.715+02:00,IdeState,Active,Editor,1.ipynb,9,9
2022-09-02T14:21:50.757+02:00,Action,EditorLeft,Editor,1.ipynb,9,9
2022-09-02T14:21:50.841+02:00,Action,EditorLeft,Editor,1.ipynb,9,8
2022-09-02T14:21:50.925+02:00,Action,EditorLeft,Editor,1.ipynb,9,7
2022-09-02T14:21:51.007+02:00,Action,EditorLeft,Editor,1.ipynb,9,6
2022-09-02T14:21:51.188+02:00,Action,EditorLeft,Editor,1.ipynb,9,5
